PurchaserState,DateSold,NumMonthsRev,units
Michigan,2013-10-01 00:00:00.000,130,840
Michigan,2013-11-01 00:00:00.000,131,369
Michigan,2013-12-01 00:00:00.000,132,239
Michigan,2014-01-01 00:00:00.000,133,217
Michigan,2014-02-01 00:00:00.000,134,609
Michigan,2014-03-01 00:00:00.000,135,981
Michigan,2014-04-01 00:00:00.000,136,1476
Michigan,2014-05-01 00:00:00.000,137,1694
Michigan,2014-06-01 00:00:00.000,138,1667
Michigan,2014-07-01 00:00:00.000,139,1772
Michigan,2014-08-01 00:00:00.000,140,1487
Michigan,2014-09-01 00:00:00.000,141,1169
Michigan,2014-10-01 00:00:00.000,142,948
Michigan,2014-11-01 00:00:00.000,143,347
Michigan,2014-12-01 00:00:00.000,144,305
Michigan,2015-01-01 00:00:00.000,145,349
Michigan,2015-02-01 00:00:00.000,146,698
Michigan,2015-03-01 00:00:00.000,147,1133
Michigan,2015-04-01 00:00:00.000,148,1817
Michigan,2015-05-01 00:00:00.000,149,1901
Michigan,2015-06-01 00:00:00.000,150,1781
Michigan,2015-07-01 00:00:00.000,151,2019
Michigan,2015-08-01 00:00:00.000,152,1630
Michigan,2015-09-01 00:00:00.000,153,1320
Michigan,2015-10-01 00:00:00.000,154,1086
Michigan,2015-11-01 00:00:00.000,155,522
Michigan,2015-12-01 00:00:00.000,156,410
Michigan,2016-01-01 00:00:00.000,157,377
Michigan,2016-02-01 00:00:00.000,158,861
Michigan,2016-03-01 00:00:00.000,159,1542
Michigan,2016-04-01 00:00:00.000,160,1971
Michigan,2016-05-01 00:00:00.000,161,2244
Michigan,2016-06-01 00:00:00.000,162,2105
Michigan,2016-07-01 00:00:00.000,163,2356
Michigan,2016-08-01 00:00:00.000,164,1834
Michigan,2016-09-01 00:00:00.000,165,1448
Michigan,2016-10-01 00:00:00.000,166,1132
Michigan,2016-11-01 00:00:00.000,167,583
Michigan,2016-12-01 00:00:00.000,168,446
Michigan,2017-01-01 00:00:00.000,169,428
Michigan,2017-02-01 00:00:00.000,170,987
Michigan,2017-03-01 00:00:00.000,171,1719
Michigan,2017-04-01 00:00:00.000,172,2178
Michigan,2017-05-01 00:00:00.000,173,2474
Michigan,2017-06-01 00:00:00.000,174,2361
Michigan,2017-07-01 00:00:00.000,175,2211
Michigan,2017-08-01 00:00:00.000,176,2201
Michigan,2017-09-01 00:00:00.000,177,1473
Michigan,2017-10-01 00:00:00.000,178,1242
Michigan,2017-11-01 00:00:00.000,179,605
Michigan,2017-12-01 00:00:00.000,180,374
Michigan,2018-01-01 00:00:00.000,181,491
Michigan,2018-02-01 00:00:00.000,182,1103
Michigan,2018-03-01 00:00:00.000,183,1830
Michigan,2018-04-01 00:00:00.000,184,2271
Michigan,2018-05-01 00:00:00.000,185,2853
Michigan,2018-06-01 00:00:00.000,186,2401
Michigan,2018-07-01 00:00:00.000,187,2399
Michigan,2018-08-01 00:00:00.000,188,2250
Michigan,2018-09-01 00:00:00.000,189,1507
Michigan,2018-10-01 00:00:00.000,190,1319
Michigan,2018-11-01 00:00:00.000,191,578
Michigan,2018-12-01 00:00:00.000,192,367
Michigan,2019-01-01 00:00:00.000,193,507
Michigan,2019-02-01 00:00:00.000,194,1253
Michigan,2019-03-01 00:00:00.000,195,1793
Michigan,2019-04-01 00:00:00.000,196,2257
Michigan,2019-05-01 00:00:00.000,197,2313
Michigan,2019-06-01 00:00:00.000,198,2146
Michigan,2019-07-01 00:00:00.000,199,2028
Michigan,2019-08-01 00:00:00.000,200,1807
Michigan,2019-09-01 00:00:00.000,201,1312
Michigan,2019-10-01 00:00:00.000,202,1075
Michigan,2019-11-01 00:00:00.000,203,492
Michigan,2019-12-01 00:00:00.000,204,339
Michigan,2020-01-01 00:00:00.000,205,710
Michigan,2020-02-01 00:00:00.000,206,1255
Michigan,2020-03-01 00:00:00.000,207,1194
Michigan,2020-04-01 00:00:00.000,208,541
Michigan,2020-05-01 00:00:00.000,209,2194
Michigan,2020-06-01 00:00:00.000,210,3289
Michigan,2020-07-01 00:00:00.000,211,2771
Michigan,2020-08-01 00:00:00.000,212,2143
Michigan,2020-09-01 00:00:00.000,213,1563
Michigan,2020-10-01 00:00:00.000,214,1176
